Stock Name,Field,EPS_2009,EPS_2010,EPS_2011,EPS_2012,EPS_2013,EPS_2014,EPS_2015,EPS_2016,EPS_2017,EPS_2018,EPS_2019,EPS_2020,BV_2009,BV_2010,BV_2011,BV_2012,BV_2013,BV_2014,BV_2015,BV_2016,BV_2017,BV_2018,BV_2019,BV_2020,PE_2009,PE_2010,PE_2011,PE_2012,PE_2013,PE_2014,PE_2015,PE_2016,PE_2017,PE_2018,PE_2019,PE_2020,ROA_2009,ROA_2010,ROA_2011,ROA_2012,ROA_2013,ROA_2014,ROA_2015,ROA_2016,ROA_2017,ROA_2018,ROA_2019,ROA_2020,ROE_2009,ROE_2010,ROE_2011,ROE_2012,ROE_2013,ROE_2014,ROE_2015,ROE_2016,ROE_2017,ROE_2018,ROE_2019,ROE_2020,ROS_2009,ROS_2010,ROS_2011,ROS_2012,ROS_2013,ROS_2014,ROS_2015,ROS_2016,ROS_2017,ROS_2018,ROS_2019,ROS_2020,GOS_2009,GOS_2010,GOS_2011,GOS_2012,GOS_2013,GOS_2014,GOS_2015,GOS_2016,GOS_2017,GOS_2018,GOS_2019,GOS_2020,DAR_2009,DAR_2010,DAR_2011,DAR_2012,DAR_2013,DAR_2014,DAR_2015,DAR_2016,DAR_2017,DAR_2018,DAR_2019,DAR_2020,EPS_,BV_,PE_,ROA_,ROE_,ROS_,GOS_,DAR_,EPS_2008,BV_2008,PE_2008,ROA_2008,ROE_2008,ROS_2008,GOS_2008,DAR_2008,EPS_2007,BV_2007,PE_2007,ROA_2007,ROE_2007,ROS_2007,GOS_2007,DAR_2007,EPS_2006,BV_2006,PE_2006,ROA_2006,ROE_2006,ROS_2006,GOS_2006,DAR_2006
LCG,Construction,12.88,7.37,3.29,-0.66,-5.5,0.06,0.2,0.9,0.97,1.6,1.67,2.43,42.02,31.51,20.59,19.47,14.11,12.41,12.87,14.11,14.46,14.73,15.13,15.75,5.94,4.65,2.55,-11.97,-1.16,141.67,35,4.41,11.34,4.99,4.86,6.15,12.75,11.63,6.9,-1.81,-15.81,0.25,0.67,2.64,2.19,3.89,4.05,5.07,20.78,20.17,13.32,-3.34,-38.55,0.5,1.54,6.41,6.92,11.18,12.04,16.85,42.81,23.56,10.22,-5.3,-107.42,0.37,1.48,6.16,5.15,6.58,7.54,8.8,36.4,18.92,18.66,16.79,9.11,7.59,6.77,12.1,10.93,13.03,18.15,8.63,38.63,41.99,45.4,42.78,56.18,46.72,56.64,58.84,68.36,65.19,66.36,69.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDG,Construction,,,,,0.47,0.55,1.95,1.94,2.45,3.27,2.59,0.05,,,,,10.32,10.67,13.36,13.34,12.53,13.48,13,12.92,,,,,,,6,2.94,8.1,4.31,3.34,157,,,,,0.57,1.76,6.67,5.66,7.76,12.39,10.31,0.23,,,,,3.07,4.65,15.4,13.45,14.12,23.47,19.32,0.42,,,,,14.45,41.75,29.68,31.97,42.65,35.09,76.89,0.93,,,,,32.18,33.79,54.36,59.46,65.38,50.21,54.38,26.73,,,,,81.54,57.5,56.71,57.93,45.03,47.21,46.6,43.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEC,Construction,,,,,,,,,0.74,0.03,-0.02,,,,,,,,,11.27,13.16,13.18,13.17,13.19,,,,,,,,,27.57,626.67,-755,,,,,,,,,,2.01,0.06,-0.05,0.01,,,,,,,,,5.59,0.2,-0.17,0.03,,,,,,,,,5.58,0.13,-0.12,0.02,,,,,,,,,12.5,9,9.85,7.06,,,,,,,,2.94,64.1,67.81,68.12,63.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGC,Construction,3.64,3.25,0.64,0.1,0.4,12.77,3.36,1.68,0.83,0.95,1.78,1.72,18.54,18.74,19.29,19.38,15.36,19.25,14.3,15.65,16.01,18.11,20.23,23.05,8.93,9.17,39.69,110,32,2.91,7.02,14.46,28.25,37.16,22.19,40.12,6.94,9.75,1.36,0.22,0.89,1.5,4.97,3.94,1.65,1.99,3.06,2.8,18.74,24.17,3.33,0.52,1.67,5.8,13.3,10.85,5.26,5.32,8.84,7.51,18.84,17.18,6.66,1.89,1.84,9.79,104,75.45,30.04,30.95,48.4,47.36,27.54,28.01,32.57,60.4,19.16,16.04,32.72,46.55,65.34,67.86,67.77,65.79,62.95,59.66,59.21,58.86,47.09,66.69,62.62,63.73,68.64,62.7,65.35,62.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGL,Construction,4.62,3.79,0.1,0.07,-2.49,1.51,0.4,0.68,2.68,2.41,1.1,0.04,17.04,16.57,16.55,16.58,14.1,15.55,17.32,17.67,15.31,15.49,15.19,14.63,7.79,5.38,67,51.43,-1.37,4.3,18,11.75,4.29,2.86,7.48,162.75,9.98,6.89,0.24,0.15,-6.74,4.26,0.99,0.82,4.09,4.6,3.51,0.11,27.11,14.62,0.59,0.42,-17.65,9.71,2.35,4.25,17.25,14.33,8.19,0.27,14.71,20.09,0.59,1.2,-72.84,16.42,6.7,7.84,10.66,9.46,4.84,1.21,19,18.27,19.03,40.49,33.11,24.48,45.93,28.38,27.01,24.62,22.32,-13.51,63.19,51.6,58.47,61.87,59.36,53.84,57.8,80.72,76.29,67.92,57.15,58.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHG,Construction,8.32,8.05,3.57,2.04,0.93,0.97,2.68,6.36,6.16,3.52,2.55,3.66,22.96,27.22,,24.29,24.67,24.49,26.22,25.69,21.82,22.93,23.82,25.67,,5.64,4.12,6.86,10.97,13.4,6.42,2.85,2.76,5.27,6.04,9.37,17.01,10.2,5.09,3.2,1.47,1.71,5.05,10.84,8.34,8.31,6.38,7.64,36.25,29.56,15.16,8.4,3.76,3.94,10.17,24.69,15.19,15.34,11.98,15.47,45.1,40.97,25.41,20.53,10.06,8.05,29.97,34.46,33.97,40.9,23.83,30.86,64.54,69.16,54.71,53.4,59.3,53.26,43.22,56.92,55.59,56.69,35.64,45.6,53.09,65.51,66.41,61.92,60.97,56.7,50.39,56.1,45.11,45.82,46.71,50.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LM8,Construction,2.31,2.35,2.69,4.81,5.11,6.06,6.42,4.54,1.92,,0.8,0.47,15.74,13.35,14.65,19.5,22.77,26.41,29.78,31.87,30.21,30.35,29.88,30.98,,6.04,3.35,2.47,4.17,4.47,4.02,5.48,11.98,,26.88,24.26,3.38,2.52,1.94,3.54,3.18,3.4,3.32,2.66,1.3,0.87,0.58,0.38,14.65,16.43,18.35,24.67,22.43,22.93,20.76,17.59,8.28,5.97,3.92,2.04,3.13,3.06,3.51,3.57,3.22,3.55,3.51,3.25,1.39,0.89,0.63,0.44,15.01,8.76,18.45,9.76,8.71,8.48,7.9,10.32,10.15,7.41,7.14,5.79,76.94,84.69,89.43,85.67,85.83,85.18,84,84.86,84.27,85.38,85.3,81.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBB,Construction,6.14,8.04,4.3,11,1.13,0.86,0.71,0.7,1,1.49,3.47,3.2,39.88,49.66,55.63,69.26,36.52,27.04,21.62,23.78,19.72,21.22,21.52,17.58,11.4,10.95,11.37,2.35,13.98,25.35,29.58,27.14,20,13.69,5.76,7.58,5.41,5.16,2.74,5.91,0.82,1.13,1.23,0.92,1.46,2.99,6.12,8,14.86,15.9,6.95,13.77,1.93,2.25,3.45,3.32,3.79,7.38,16.06,18.53,26.6,25.11,16.86,40.34,12.46,15.35,44.98,111.54,6.88,13.42,105.03,9.35,29.86,24.98,25.13,32.47,42.18,31.42,25.49,11.08,12.41,23.46,24.08,22.31,62.83,66.86,59.95,56.56,57.22,49.44,64.31,72.17,61.38,59.55,61.86,56.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHA,Construction,1.1,3.92,0.15,0.05,0.05,0.62,1.16,1.41,1.82,1.82,3.91,1.49,12.15,15.23,10.3,10.35,10.39,11.01,10.68,11.48,11.84,11.84,14.12,11.69,,,,,,,,,,,,,5.83,20.08,1.1,0.38,0.34,4.51,7.23,11.38,14.7,14.59,25.38,11.34,9.08,25,1.43,0.49,0.44,5.66,10.7,12.28,15.4,15.36,27.71,12.76,21.39,32.72,3.87,1.32,0.99,9.56,8.91,10.92,25.17,26.15,40.18,22.29,32.19,42.16,11.61,10.88,9.73,18.09,15.08,19.58,39.21,39.64,55.25,31.03,35.84,19.68,23.21,22.75,22.66,20.31,32.4,7.34,4.55,5.01,8.39,11.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLG,Construction,4.17,4.69,1.77,0.26,0.23,0.78,1.46,2.37,3.31,3.52,4.48,3.08,34.63,28.99,19.97,13.32,13.51,14.43,17.14,22.15,23.68,22.1,23.87,23.56,,,,,74.78,22.56,15.62,9.37,9.09,7.33,6.14,9.58,6.81,7.55,3.7,0.8,0.64,2.43,4.11,5.56,6.77,7.97,8.81,6.12,17.96,15.69,8.72,1.94,1.64,4.94,8.5,10.97,14.37,14.45,15.49,12.42,25.16,22.22,14.61,5.34,3.52,11.02,16.39,13.62,16.92,21.94,37.73,37.66,47.64,41.61,37.41,43.69,38.47,35.09,33.19,32.48,40.96,43.21,41.89,30.26,53.46,44.57,47.75,49.34,52.4,49.33,51.68,49.31,52.91,44.81,43.14,50.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTL,Construction,24.08,17.52,1.54,1.16,1.51,0.6,1.46,1.15,1.34,,3.56,4.5,34.01,28.62,12.88,13.96,13.37,13.37,14.03,15.12,15.24,,16.8,19.09,5.9,3.65,8.25,13.97,9.4,23.33,8.56,8.17,8.13,,6.66,5.61,45.28,26.33,4.68,4.19,6.94,2.68,7.35,5.43,5.81,,14.4,16.32,95.09,61.2,11.71,7.98,10.8,4.31,10.53,7.78,9.57,,21.89,25.37,38.45,41.04,16.72,10.19,20.24,16.06,19.85,17.25,30.75,,28,45.25,51.31,54.28,22.2,19.2,22.71,23.56,30.12,19.29,23.21,,42.37,64.52,52.39,55.61,58.08,46.38,34.41,36.96,30.13,30.17,39.35,,34.2,35.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVL,Construction,,,,,,0.78,1.37,3.4,3.21,3.53,3.58,4.02,,,,,,11.59,16.55,16.85,20.41,21.83,25.23,32.38,,,,,,,,17.68,20.28,18.19,16.62,16.42,,,,,,0.58,1.56,4.56,4.11,4.62,3.81,2.71,,,,,,3.51,6.82,16.57,15.34,15.77,14.03,12.27,,,,,,3.34,6.23,22.63,17.48,21.1,31.39,77.97,,,,,,16.97,20.08,21.51,28,33.73,28.83,36.47,,,,,,79.11,77.06,72.49,73.2,70.73,72.81,77.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC1,Construction,,,,,9.29,21.06,9.18,4.53,2.34,3.51,2.25,2.68,,,,,25.69,42.98,40.11,27.41,24.37,24.7,23.19,24.95,,,,,,,,7.95,16.5,7.07,7.78,8.3,,,,,6.57,20.37,7.52,6.73,3.81,7.07,4.3,4.78,,,,,30.14,49.01,17.91,14.77,8.41,14.23,9.68,10.75,,,,,6.88,13.66,7.92,10.13,7.49,9.18,6.12,7.68,,,,,20.71,21.52,13.82,17.51,15.23,17.03,14.01,17.39,,,,,76.6,56.68,58.01,54.46,54.71,50.29,55.57,55.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDR,Construction,1.12,,0.05,0.04,0.02,0.32,0.92,1.14,1.87,2.29,2.53,2.93,11.31,11.99,10.92,10.95,10.96,11.28,11.25,11.91,12.73,13.18,13.33,13.11,,,376,437.5,860,50.31,14.46,11.49,19.09,11.14,10.36,17.58,3.91,8.59,0.15,0.1,0.04,0.69,2.07,2.69,4.42,5.82,6.26,7.81,9.94,21.06,0.48,0.35,0.16,2.84,6.86,10.09,15.56,18.32,20.01,23.49,29.74,20.9,5.37,4.73,5.91,10.03,38.69,16.2,33.16,29.95,25.71,31.2,41.6,32.38,30.65,41.46,69.63,18.89,36.34,26.95,39.13,31.72,38.76,46.58,60.62,59.17,69.34,72.51,74.77,75.74,69.89,73.3,71.59,68.24,68.71,66.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHC,Construction,3.14,4.21,1.11,-0.12,0.72,0.4,1.14,1.35,1.9,2.63,2.69,0.19,16.54,16.43,15.08,14.24,14.39,14.78,17.94,18.88,17,17.66,17.82,15.52,,,,,,,,,,4.79,4.18,65.79,2.02,3.58,1.89,-0.21,1.17,0.63,1.66,1.5,1.75,2.5,2.65,0.24,18.97,15.79,7.34,-0.85,4.94,2.67,6.27,7.03,7.94,14.81,13.85,1.23,2.16,3.08,1.62,-0.21,1.38,0.82,1.02,0.99,1.34,1.94,1.71,0.32,6.97,7.11,8.25,7.45,7.47,8.65,4.95,7.26,6.84,7.62,8.34,10.32,87.92,75.86,72.33,73.05,74.34,74.33,73.62,78.65,77.89,83.11,80.89,80.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC,Construction,0.06,11.31,0.25,-5.94,0.15,0.38,-0.38,1.23,0.28,,3.85,,24.21,24.13,24.33,18.69,19.13,19.51,11.51,12.84,12.99,,13.25,,176.67,1.27,15.2,-1.31,38.67,23.42,-25,5.48,21.43,,1.61,,0.12,0.24,0.55,-15.68,0.43,1.16,-0.8,3.61,0.84,,21.06,,0.22,0.45,0.98,-30.23,0.74,1.93,-2.4,9.57,2.14,,26.16,,0.13,0.44,0.96,-34.62,1.4,3.2,-3.06,6.86,3.22,,594.21,,7.24,18.5,17.34,-6.18,11.68,10.05,6.24,5.56,8.71,,-33.33,,42.66,43.4,42.44,46.92,41.2,38.95,66.52,62.26,60.58,,19.49,,,,,,,,,,0.52,24.72,15.77,1.04,2.07,1.16,9.16,49.53,,,,,,,,,,,,,,,,
PTL,Construction,,0.26,1.29,-0.01,-1.39,0.03,0.01,0.01,-0.64,-0.18,0.01,0.02,10.41,,10.14,10.06,8.68,8.71,10.11,10.09,9.44,8.02,7.31,7.33,,49.62,3.1,-300,-2.09,103.33,170,260,-6.64,-16.33,459,330,1.14,2.21,5.06,-0.05,-6.65,0.14,0.05,0.06,-4.32,-0.04,0.08,0.21,1.31,2.44,12.67,-0.13,-15.8,0.32,0.08,0.1,-6.65,-0.06,0.12,0.34,235.36,50.51,17.25,-0.44,-28.87,1.73,0.18,1.15,-55.14,-0.94,1.94,4.88,12.7,25.19,30.68,2.79,1.26,10.26,12.55,14.63,5.15,4.4,14.31,15.1,13.08,9.66,55.22,57.56,51.33,48.97,42.27,39.8,35.08,31.57,35.4,36.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PXI,Construction,,,1.43,0.28,0.09,0.97,1.19,-0.48,-1.43,0.02,-0.35,-1.67,10.19,10.56,10.93,11.01,10.55,11.51,11.42,10,8.57,8.58,9.04,7.37,,,3.01,15,47.78,7.94,4.71,-7.58,-1.75,124.5,-8.23,-1.98,0.39,6.44,3.58,0.92,0.26,1.97,2.86,-1.17,-3.57,0.05,-1.69,-11.61,4.96,21.3,13.12,2.55,0.87,8.45,10.39,-4.84,-16.74,0.21,-3.85,-22.62,2.7,3.97,2.61,1,0.4,3.22,3.12,-3.14,-14.42,0.09,-2.22,-603.66,8.66,9.02,8.52,9.02,15.43,10.42,9.65,5.17,-1.58,1.98,3.1,-308.48,92.08,69.76,71.79,62.9,69.72,76.62,72.46,75.79,78.7,73.69,56,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PXS,Construction,,,3.71,1.8,1.91,2.48,1.94,1.35,0.02,-2.32,-4.48,0.06,10,12.95,12.41,12.76,12.44,13.24,12.71,13.73,12.41,10.09,5.63,5.68,,,1.91,4.28,7.7,9.19,5.98,7.09,515,-2.23,-1.25,122.5,8.02,14.35,6.51,5.18,4.92,7.48,6.22,4.6,0.05,-8.54,-22.79,0.26,27.53,33.88,23.3,14.09,12.21,18.71,14.39,10.69,0.13,-23.03,-79.55,0.99,7.19,17.93,10.26,5.63,7.52,7.43,6.29,5.69,0.11,-59.95,-66.24,0.3,15.91,32.75,19.32,18.77,24.5,16.52,15.09,13.98,9.54,-36.89,-32.77,4.06,70.87,57.64,72.05,63.26,59.68,60.02,56.79,56.99,57.69,62.9,71.35,74.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCG,Construction,3.74,3.67,-0.33,0.06,0.12,0.25,0.08,0.16,1.46,0.35,0.21,0.18,22.44,19.17,18.34,18.06,18.17,13.79,14.32,14.56,14.92,15.19,15.54,15.41,,7.38,-40.61,121.67,54.17,38.8,63.75,23.75,10.21,13.14,18.95,50.33,4.68,5.23,-0.72,0.12,0.23,0.48,0.27,0.55,3.55,0.88,0.52,0.48,16.55,11.51,-1.79,0.34,0.64,0.87,0.55,1.12,9.87,2.32,1.38,1.18,37.54,37.38,-10.01,3.48,1.52,6.28,5.65,2.82,47.29,13.23,6.87,2.67,13.45,45.67,13.19,33.8,6.42,-7.3,13.43,5.08,17.34,32.45,13.46,15.76,71.39,51.52,53.87,59.49,60.64,42.87,50.63,51.23,64.01,62.07,62.49,58.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REE,Construction,5333,1999,2.46,2.7,3.98,4,3.17,3.53,4.44,5.75,5.29,5.25,30.4,15.57,15.8,17.23,19.71,21.97,24.79,24.9,28.04,32.02,35.81,39.39,0.01,0.01,4.59,6.15,7.44,7.05,7.95,6.98,9.35,5.36,6.86,9.32,12.78,7.3,9.7,9.99,14.03,12.64,8.88,9.59,9.63,11.51,8.35,7.93,17.54,12.49,13.28,15.58,18.78,17.97,12.76,14.16,15.84,17.97,14.76,13.33,36.81,20.04,28.37,27.42,40.43,40.39,32.27,29.88,27.57,34.98,33.52,28.87,34.82,27.38,29.88,24.43,24.99,30.52,33.72,32.29,28.62,24.08,25.49,28.47,26.43,40.97,27.01,35.87,25.21,24.57,30.45,32.25,39.19,35.94,43.42,40.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS,Construction,,,,,,,0.55,1.14,1.9,0.35,0.31,,,,,,,,10.37,11.46,12.01,10.35,10.64,10.59,,,,,,,,100.61,95.63,110.57,55.81,,,,,,,,2.57,5.73,8.18,1.76,1.67,0.01,,,,,,,3.69,9.53,14.93,3.17,2.95,0.01,,,,,,,11.99,14.42,19.2,5.38,3.68,0.05,,,,,,,4.89,10.94,9.28,6.61,6.34,2.07,,,,,,,30.37,39.91,45.21,44.5,43.27,42.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC5,Construction,3.57,3.86,1.68,0.64,3.6,2.23,2.39,2.8,4,,2.25,2.35,23.43,25.94,22.85,23.42,22.22,22.26,20.77,21.33,23.05,,23.24,23.34,17.79,9.97,4.82,21.72,6.39,11.3,11.3,9.89,6.36,,11.07,8.04,2.6,2.14,0.95,0.37,2.56,1.52,1.59,2.11,2.98,,2,1.62,15.24,14.12,6.15,2.74,16.14,10,11.49,13.12,17.36,,9.7,10.08,3.23,3.36,1.72,0.65,4.35,2.4,2.5,2.85,3.05,,1.51,1.85,5.58,7.48,3.3,4.9,2.51,6.29,5.1,5.55,5.97,,4.48,5.22,82.53,84.54,84.52,86.32,84.14,84.77,86.19,83.92,82.85,,79.36,83.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCR,Construction,0.93,4.27,0.02,0.62,0.05,0.17,0.99,0.72,0.91,0.64,0.75,0.52,25.75,21.88,21.69,15.77,15.06,14.49,14.02,15.03,14.28,13.22,13.97,13.35,,7.38,295,11.45,152,54.12,8.79,11.94,10.12,11.41,7.85,17.52,0.83,5.62,0.24,1.35,0.14,0.54,3.97,2.31,2.39,1.98,2.52,1.65,3.63,19.5,0.75,3.94,0.35,1.27,6.54,5.32,6.56,4.79,5.79,3.86,48.71,38.19,2.92,15.15,0.73,4.22,125.23,22.4,12.53,7.33,26.61,20.55,52.88,5.43,22.97,6.2,18.42,19.61,11.54,37.15,30.11,21.78,40.97,-33.52,76.8,71.13,67.48,64.4,59.37,57.13,39.22,56.49,63.54,58.64,56.47,57.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGR,Construction,,,,,,,1.51,13.64,3.19,2.77,1.96,1.7,,,,,,,16.36,24.61,14.59,14.7,15.22,12.43,,,,,,,,,,7.04,9.18,11.88,,,,,,,2.2,17.35,9.01,6.41,4.25,5.21,,,,,,,9.17,56.04,24.17,18.84,12.85,13.66,,,,,,,15.45,25.31,26.21,33.5,73.4,132.9,,,,,,,35.74,44.96,37.37,25.5,42.33,43.85,,,,,,,76.01,69.05,62.72,65.95,66.91,61.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJS,Construction,8.67,4.59,,-3.06,0.71,1.58,2.27,,1.32,0.96,0.92,0.27,22.11,21.78,18.41,15.26,15.96,17.52,19.9,21.12,22.75,19.61,19.46,18.75,9.23,13.4,,-7.12,26.06,15.89,10.35,,22.8,19.69,18.48,104.26,23.52,10.23,-1.64,-5.49,1.25,2.89,3.93,3,2.09,1.7,1.58,0.43,39.86,20.98,-4.48,-19.83,4.39,8.93,11.31,8.47,5.77,4.87,4.69,1.42,63.25,44.95,-59.1,-597.34,11.11,12.76,26.31,34.81,-650.89,23.46,15.07,2.69,63.63,65.97,22.69,-290.88,40.65,27.18,36.79,48.12,-922.18,23.66,27.04,37.63,41,51.06,62.68,71.71,70.95,67.42,65.29,64.61,63.79,65.1,66.4,69.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,Construction,4.95,5.75,7.2,5.43,2.57,2.66,2.42,3.38,2.12,2.18,1.68,1.3,39.25,38.42,39.31,36.75,22.43,15.86,16.99,18.37,14.82,15.59,15.54,16.52,6.14,5.22,2.71,4.68,6.96,6.17,5.95,8.14,8.73,5.83,8.69,10.08,5.83,7.59,7.34,5.56,5.29,6.99,5.94,7.21,4.95,5.03,3.44,2.04,12.61,14.56,16.51,13.09,10.58,16.76,15.78,21.49,17.5,16.2,13.02,7.43,9.97,8.65,8.83,5.99,6.82,7.74,6.26,7.31,5.82,4.74,3.85,2.68,15.74,16.75,15.19,14.36,18.94,15.24,13.13,10.62,9.52,8.52,9.81,8.21,53.74,47.87,55.51,57.52,50.01,58.29,62.38,66.46,71.7,68.99,73.56,72.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZC,Construction,0.37,0.48,0.62,,0.46,0.72,,0.4,0.66,0.78,1.14,1.68,10.51,10.67,10.9,10.5,10.94,10.84,,10.9,11.18,11.56,11.96,12.64,,,,,,,,,,,15.53,19.05,3.48,4.12,4.44,0.48,2.81,2.76,,2.42,3.3,3.77,4.34,4.21,3.52,4.28,5.68,0.64,4.16,4.65,,4.05,6.5,8.42,11.22,14.71,967.42,402.07,97.06,3.63,22.66,21,,43.55,33.1,33.54,40.72,42.96,31.3,54.83,79.22,12.6,28.79,28.8,,51.66,47.49,48.76,53.88,53.98,1.17,3.6,21.8,24.31,32.32,40.72,,40.15,49.21,55.2,61.29,71.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZL,Construction,4.55,2.82,2.36,2.51,2.17,2.39,1.84,4.64,3.92,4.8,4.53,4.49,47.36,24.48,23.52,25.68,23.53,23.03,21.46,26.02,26.41,28.95,35.34,27.65,16.48,7.38,4.96,4.86,8.29,7.66,11.3,7.28,9.41,6.42,9.54,12.14,5.57,7.05,4.64,4.21,3.45,3.52,3.56,6.82,5.87,6.82,6.29,6.17,9.27,11.53,9.73,8.9,8.38,9.42,10.68,19.78,16.86,18.84,14.56,18.45,56.74,43.56,35.16,35.42,25.73,24.21,24.14,36.53,27.75,29.89,27.75,28.4,33.35,38.39,22.81,25.04,22.69,23.07,24.5,39.61,30.54,33.43,32.1,34.42,39.88,38.81,52.34,52.7,58.84,62.69,66.65,65.5,65.16,63.8,56.82,66.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,Construction,,,,,,,,1.23,1.7,1.78,1.9,2.8,,,,,,,14.42,11.78,12.59,12.83,13.07,13.99,,,,,,,,,10.41,7.58,5.26,4.16,,,,,,,7.8,1.32,4.89,3.71,3.83,1.97,,,,,,,16.53,8.48,13.01,12.88,13.41,18.6,,,,,,,9.82,3.9,5.15,7.22,4.36,4.31,,,,,,,18.4,18.12,15.96,25.37,16.67,13.08,,,,,,,52.81,84.37,62.41,71.17,71.44,89.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCH,Construction,,,,,,3.68,1.7,1.41,1.22,0.8,1.79,2.56,,,,,,13.66,13.42,12.2,12.03,12.37,13.01,23.06,,,,,,,,11.99,17.34,22.19,18.24,7.79,,,,,,9.68,7.14,10.78,9.03,4.47,7.29,8.74,,,,,,26.4,10.08,11.3,10.05,6.29,13.37,10.22,,,,,,14.7,14.17,34.91,23.83,34.06,28.22,20.5,,,,,,27.68,21.54,27.41,26.7,30.37,33.13,26.28,,,,,,57.84,29.17,4.65,10.12,28.86,45.47,14.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDC,Construction,6.91,4.64,2.45,1.6,1.45,1.17,1,1.12,1.19,1.03,1.29,1.69,13.9,17.55,12.51,12.04,12.06,11.72,11.96,12.22,12.35,12.31,12.4,12.87,,5.56,3.35,5.44,6.34,9.06,7,5.27,6.2,7.41,6.52,9.08,7.04,5.5,7,4.59,3.3,1.87,1.46,1.68,1.66,1.77,2.38,3.43,25.27,26.44,15.14,13.32,12.02,9.96,8.97,9.99,10.58,9.72,11.97,15.14,12.92,15.15,10.6,9.35,8.96,6.68,6.87,8.42,9.65,7.06,9.5,12.2,17.8,15.75,17.4,19.56,22.83,19.34,26.33,28.11,31.41,27.57,35.81,39.57,72.13,79.18,53.34,64.33,71.63,80.65,83.74,83.22,84.3,81.8,80.15,77.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDH,Construction,6.31,6.3,1.18,0.87,0.57,1.34,1.12,1.32,1.44,1.27,1.28,-3.23,32.94,36.4,34.8,35.39,35.68,36.84,32.97,24.95,22.48,30.33,27.27,19.86,10.62,5.48,9.66,13.91,24.04,14.48,12.32,7.73,10.28,7.95,7.79,-3.14,16.06,10.64,1.97,1.48,0.96,2.09,1.86,3.87,4.56,2.53,2.61,-6.52,23.59,18.05,3.39,2.45,1.59,3.63,3.4,6.11,7.14,4.66,5.44,-16.24,61.16,44.66,8.37,16.39,5.29,8.98,5.34,10.21,7.12,4.81,3.55,-18.53,54.99,41.17,34.77,24.44,31.65,16.95,14.5,19.96,12.97,7.91,3.89,10.7,29.2,36.31,37.54,36.14,35.88,37.91,45.3,36.77,36.12,45.71,51.95,59.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGG,Construction,,,,,,,,0.51,0.54,0.18,0.03,,,,,,,,,10.25,10.77,10.42,10.44,8.84,,,,,,,,,,17.28,60.67,,,,,,,,,3.14,4.75,1.7,0.27,-16.89,,,,,,,,3.47,5.13,1.86,0.28,-18.01,,,,,,,,11.27,14.18,5.8,1.64,-425.51,,,,,,,,14.24,11.22,5.28,1.9,0.83,,,,,,,,9.47,7.41,8.14,6.74,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
