Stock Name,Field,EPS_2009,EPS_2010,EPS_2011,EPS_2012,EPS_2013,EPS_2014,EPS_2015,EPS_2016,EPS_2017,EPS_2018,EPS_2019,EPS_2020,BV_2009,BV_2010,BV_2011,BV_2012,BV_2013,BV_2014,BV_2015,BV_2016,BV_2017,BV_2018,BV_2019,BV_2020,PE_2009,PE_2010,PE_2011,PE_2012,PE_2013,PE_2014,PE_2015,PE_2016,PE_2017,PE_2018,PE_2019,PE_2020,ROA_2009,ROA_2010,ROA_2011,ROA_2012,ROA_2013,ROA_2014,ROA_2015,ROA_2016,ROA_2017,ROA_2018,ROA_2019,ROA_2020,ROE_2009,ROE_2010,ROE_2011,ROE_2012,ROE_2013,ROE_2014,ROE_2015,ROE_2016,ROE_2017,ROE_2018,ROE_2019,ROE_2020,ROS_2009,ROS_2010,ROS_2011,ROS_2012,ROS_2013,ROS_2014,ROS_2015,ROS_2016,ROS_2017,ROS_2018,ROS_2019,ROS_2020,GOS_2009,GOS_2010,GOS_2011,GOS_2012,GOS_2013,GOS_2014,GOS_2015,GOS_2016,GOS_2017,GOS_2018,GOS_2019,GOS_2020,DAR_2009,DAR_2010,DAR_2011,DAR_2012,DAR_2013,DAR_2014,DAR_2015,DAR_2016,DAR_2017,DAR_2018,DAR_2019,DAR_2020,EPS_,BV_,PE_,ROA_,ROE_,ROS_,GOS_,DAR_,EPS_2008,BV_2008,PE_2008,ROA_2008,ROE_2008,ROS_2008,GOS_2008,DAR_2008,EPS_2007,BV_2007,PE_2007,ROA_2007,ROE_2007,ROS_2007,GOS_2007,DAR_2007,EPS_2006,BV_2006,PE_2006,ROA_2006,ROE_2006,ROS_2006,GOS_2006,DAR_2006
ACL,Manufacturing,5.59,5.85,6.24,0.82,0.28,0.67,1.58,1.14,0.95,10.1,6.22,0.56,19.75,20.76,16.2,14.96,14.62,15.24,16.32,15.46,16.4,24.51,29.22,13.85,4.96,4.6,2.76,15.37,33.93,17.01,6.08,7.46,8.53,2.97,3.73,26.16,8.19,8.21,14.48,1.82,0.72,1.47,2.41,1.98,1.96,17.15,9.7,1.7,28.29,26.1,38.54,5.49,1.91,4.39,9.7,6.67,5.77,41.23,21.27,4.06,6.98,5.53,8.92,1.46,0.52,1.44,2.56,1.82,1.82,13.64,10,2.96,17.06,16.3,18.7,12.35,15.64,14.3,15.13,14.76,15.09,25.39,22.24,15.77,71.05,68.56,62.43,66.91,62.59,66.51,75.17,70.26,65.99,58.41,54.4,58.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADS,Manufacturing,,,,,,1.95,1.05,2.04,3.28,1.94,0.3,0.75,,,,,,16.67,14.57,15.19,16.88,17.71,15.8,15.04,,,,,,,,10.12,5.3,7.42,41.33,13.6,,,,,,1.85,1.11,2.81,3.7,2.95,0.45,1.15,,,,,,11.7,4.99,13.86,13.44,11.18,1.95,4.99,,,,,,1.43,0.9,3.23,3.85,2.75,0.46,1.57,,,,,,5.01,6.27,8.16,8.1,7.06,3.33,4.73,,,,,,84.18,77.82,79.74,72.47,73.61,76.75,77.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGM,Manufacturing,12.78,13.47,4.24,2.82,1.76,0.28,2.6,0.35,0.62,1.5,2.21,1.36,56,62.49,19.34,19.89,20.07,19,21.06,19.23,19.78,20.73,24.25,24.12,,,,7.8,7.5,41.07,3.92,27.6,14.35,7.27,4.62,9.38,7.54,6.35,7.65,4.38,3.14,0.71,5.98,0.87,1.57,4.96,5.22,3.26,22.82,21.56,20,14.18,8.76,1.5,12.36,1.83,3.13,7.26,9.13,5.63,3.68,3.98,2.67,2.31,1.81,0.29,2.26,0.34,0.5,1.32,1.9,1.26,3.44,7.52,5.27,7.25,5.43,5.97,6.25,6.35,5.95,7.54,8.48,7.87,66.94,70.54,61.74,69.12,64.15,52.88,51.59,52.8,49.92,31.64,42.83,42.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANV,Manufacturing,-1.95,1.08,1.12,0.52,0.1,0.94,0.02,0.27,1.14,4.81,5.54,1.59,22.27,21.75,21.92,21.47,20.67,20.5,19.63,19.83,11.15,14.78,18.71,18.3,-8.92,13.06,6.61,18.85,85,10.43,400,20.56,9.69,5.93,4.13,15.66,-5.8,3.65,3.41,1.4,0.24,1.84,0.05,0.64,5.27,17.52,17.03,4.18,-8.69,4.92,5.07,2.41,0.49,4.54,0.12,1.49,10.21,32.47,29.51,8.66,-6.87,4.93,4.18,1.96,0.26,2.22,0.06,0.69,4.83,14.57,15.71,5.88,-2.2,14.91,10.26,12.96,13.63,15.18,15.34,12.8,14.66,20.94,23.27,14.09,33.03,21.53,30.22,41.86,51.45,59.32,60.42,56.62,48.42,46.05,42.29,51.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APH,Manufacturing,,,,,,,,,,,3.43,0.51,,,,,,,,,,,28.54,29.95,,,,,,,,,,,,146.67,,,,,,,,,,,4.38,0.74,,,,,,,,,,,10.78,1.76,,,,,,,,,,,4.6,0.91,,,,,,,,,,,11.37,11.26,,,,,,,,,,,59.32,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBC,Manufacturing,3.72,2.7,3.01,1.68,2.91,3.75,5.29,4.86,6,6.75,5.83,5.95,33.93,,37.24,37.55,38.58,41.58,45.76,48.82,53.14,59.5,65.1,71.05,,,,,,,,,,,,,7.78,,5.9,3.37,5.55,6.47,8.52,7.81,8.69,8.73,6.08,6.26,10.95,,8.07,4.47,7.54,9.01,12.16,10.8,11.88,11.94,9.51,8.82,9.14,5.29,4.64,2.78,4.26,5.13,7.32,6.43,7.55,7.7,6.35,7.93,29.65,26.58,29.02,28.55,31.5,34.72,34.74,35.25,31.73,29.92,32.17,27.02,28.98,,26.95,24.64,26.4,28.21,29.92,27.69,26.8,26.87,36.08,28.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFC,Manufacturing,,,,3.49,5.31,5.4,4.33,5.1,4.46,3.04,1.16,2.1,,,,13.94,16.85,17.68,23.25,19.73,21.36,20.8,20.18,21.12,,,,,,,6.24,5.78,7.54,8.42,9.7,8.31,,,,5.42,7.23,7.68,6.41,8.09,7.21,5.2,2.22,4.36,,,,25.05,31.52,27.21,20.68,24.58,22.69,16.26,6.42,11.03,,,,1.87,3.2,3.59,3.79,4.66,4.39,3.03,1.21,2.46,,,,7.45,10.47,10.67,12.58,15.21,16.02,13.16,12,13.94,,,,75.23,73.09,66.32,68.98,67.08,68.21,68.02,65.44,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHN,Manufacturing,1.9,,3.08,3.58,3.26,4.4,3.65,3.24,2.77,2.06,2.28,2.79,13.07,13.46,16.23,18.03,19.58,22.86,26.26,28.2,19.5,21.27,22.35,24.74,,,,,,,,38.73,46.06,39.32,33.16,27.67,6.57,16.93,9.35,10.55,10.3,10.93,8.93,8.02,6.84,5.42,6.95,8.54,14.57,23.54,19.01,19.85,18.3,19.25,14.57,12.01,14.53,10.12,10.42,11.44,11.7,16.54,11.78,12.83,12.89,14.36,9.2,7.85,6.7,5.48,5.79,8.81,37.32,33.15,37.11,37.8,39.58,37.02,27.16,27.85,26.19,24.7,26.32,26.56,47.05,28.08,40.03,35.97,32.86,33.33,38.74,33.16,52.97,46.42,33.33,25.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKG,Manufacturing,,,,,,,,,,,,0.62,,,,,,,,,,,,11.8,,,,,,,,,,,,21.29,,,,,,,,,,,,4.42,,,,,,,,,,,,5.27,,,,,,,,,,,,5.51,,,,,,,,,,,,8.54,,,,,,,,,,,,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMP,Manufacturing,7.25,7.89,8.42,10.31,8.13,8.28,11.41,13.8,5.68,5.22,5.16,6.38,19.48,24.44,29.99,36.42,32.74,37.78,44.31,50.52,29.92,29.97,30.16,30.19,9.03,6.02,4.16,4.32,8.61,8.82,11.48,13.84,15.07,10.08,8.76,9.81,30.32,28.03,25.25,25.34,22,19.54,21.28,21.7,16.18,15.21,14.83,17.29,36.89,32.29,28.07,28.3,24.84,21.93,25.75,27.31,18.97,17.43,17.12,21.14,21.86,19.43,16.13,19.07,17.72,15.6,18.59,18.96,12.15,10.91,9.75,11.15,29.44,26.93,25.76,31.16,29.79,27.7,31.87,32.05,24.13,22.25,22.78,26.61,17.81,13.2,10.04,10.44,11.43,10.9,17.35,20.54,14.73,12.75,13.36,18.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
